lat,long,elevation_m,distance_km
56.25639,-3.7883,135.1,18.057
56.25646,-3.78824,135,18.065
56.25651,-3.7882,135,18.071
56.25655,-3.78822,135,18.076
56.25661,-3.78825,135,18.083
56.25677,-3.78829,135,18.101
56.25689,-3.78829,134.9,18.114
56.2571,-3.7882,134.3,18.138
56.25723,-3.78809,133.9,18.154
56.25733,-3.788,133.6,18.167
56.2574,-3.78789,133.4,18.177
56.25747,-3.78778,133.2,18.188
56.25758,-3.78753,132.8,18.207
56.25767,-3.78732,131.7,18.224
56.25771,-3.78722,131.3,18.231
56.25789,-3.78676,129.6,18.266
56.25793,-3.78668,129.5,18.273
56.25799,-3.78653,129.4,18.284
56.25809,-3.78633,129.2,18.301
56.25821,-3.7861,129.2,18.32
56.25831,-3.78593,129.1,18.336
56.25834,-3.7859,129.1,18.339
56.25847,-3.78573,129,18.357
56.25854,-3.78563,128.9,18.367
56.25865,-3.78551,128.8,18.382
56.25869,-3.78547,128.7,18.387
56.25865,-3.78551,128.8,18.392
56.25854,-3.78563,128.9,18.406
56.25845,-3.78538,129.4,18.425
56.25842,-3.7853,129.5,18.43
56.25838,-3.78518,129.6,18.439
56.25837,-3.78509,129.6,18.445
56.25836,-3.78498,129.6,18.452
56.25836,-3.78487,129.6,18.458
56.25837,-3.78476,129.6,18.465
56.25839,-3.78463,129.6,18.474
56.25842,-3.78453,129.6,18.481
56.25852,-3.78428,129.5,18.5
56.25863,-3.78402,129.5,18.52
56.25892,-3.78333,129,18.574
56.25922,-3.78262,128.4,18.629
56.25924,-3.78257,128.3,18.632
