lat,long,elevation_m,distance_km
56.16272,-3.91208,198.6,3.575
56.16282,-3.912,198.8,3.587
56.16299,-3.91186,198.7,3.608
56.16315,-3.91169,198.8,3.629
56.1632,-3.91161,199,3.636
56.16335,-3.91138,199.5,3.658
56.16341,-3.91127,199.7,3.668
56.16348,-3.9112,199.6,3.677
56.16357,-3.91113,199.8,3.688
56.16374,-3.91098,200.5,3.709
56.16396,-3.91076,201.5,3.737
56.16402,-3.91069,201.8,3.745
56.1643,-3.91039,203.6,3.781
56.16443,-3.91022,204.7,3.799
56.16454,-3.91004,205.5,3.815
56.16467,-3.90985,206.2,3.834
56.16475,-3.90969,206.4,3.847
56.16486,-3.90937,206.6,3.871
56.16492,-3.90929,207,3.879
56.16499,-3.90922,207.4,3.888
56.16567,-3.90903,210.5,3.965
56.16599,-3.90889,211.7,4.001
56.16644,-3.90869,213.5,4.053
56.16657,-3.90862,214.2,4.068
56.1667,-3.90853,214.8,4.083
56.16687,-3.90839,215.7,4.104
56.16723,-3.90803,219.4,4.15
56.16745,-3.90779,221.5,4.179
56.16772,-3.9075,223.4,4.214
56.16779,-3.90739,223.6,4.224
56.16786,-3.90727,223.9,4.235
56.16793,-3.90716,224.1,4.245
56.168,-3.90709,224.4,4.254
56.16807,-3.90704,224.8,4.263
56.16813,-3.90701,225.1,4.27
56.16841,-3.90695,226.5,4.301
56.16852,-3.90692,227,4.313
56.16863,-3.90686,227.5,4.326
56.16876,-3.90678,228.1,4.341
56.16894,-3.90664,228.8,4.363
56.16907,-3.90653,229.5,4.379
56.16908,-3.90652,229.6,4.381
56.16924,-3.90638,230.5,4.4
56.16942,-3.90623,231.7,4.422
56.1696,-3.90605,233,4.445
56.16972,-3.90592,233.8,4.461
56.16994,-3.9057,234.8,4.489
56.17021,-3.90551,235.3,4.521
56.17044,-3.90538,235.2,4.548
56.17067,-3.90526,234.6,4.575
56.17082,-3.90516,234.1,4.593
56.17101,-3.90503,233.4,4.615
56.17112,-3.90492,232.8,4.629
56.17131,-3.90478,232.1,4.652
56.17154,-3.90462,231.3,4.68
56.17156,-3.90461,231.2,4.682
56.17157,-3.9046,231.2,4.683
56.17188,-3.90438,231,4.72
56.17209,-3.9042,231.4,4.746
56.17221,-3.90407,231.5,4.762
56.17239,-3.90387,231.7,4.785
56.1725,-3.90374,232.2,4.8
56.17276,-3.90336,233.7,4.837
56.1729,-3.90321,234.8,4.855
56.17298,-3.90312,235.3,4.866
56.17316,-3.90298,236.3,4.888
56.17333,-3.90294,236.8,4.907
56.17361,-3.90295,237.6,4.938
56.17386,-3.90298,238.1,4.966
56.174,-3.903,237.8,4.982
56.17415,-3.90305,237.6,4.999
56.17437,-3.90316,237.7,5.024
56.17453,-3.90324,237.8,5.042
56.17474,-3.90334,237.4,5.067
56.17496,-3.90341,236.9,5.091
56.17524,-3.9035,235.9,5.123
56.17549,-3.9036,234.8,5.152
56.17583,-3.90378,234.1,5.191
56.17611,-3.90397,234,5.224
56.17615,-3.90399,233.9,5.229
56.1763,-3.9041,233.6,5.247
56.1765,-3.90419,232.7,5.27
56.17659,-3.90422,232.3,5.28
56.17669,-3.90423,231.8,5.291
56.1768,-3.90423,231.2,5.304
56.17689,-3.9042,230.5,5.314
56.17702,-3.90413,229.4,5.329
56.17724,-3.90398,227.7,5.355
56.17745,-3.90385,226.7,5.38
56.17773,-3.9037,225.6,5.412
56.1778,-3.90364,225.3,5.421
56.17788,-3.90357,225,5.431
56.17805,-3.90339,225,5.453
56.17806,-3.90338,225,5.454
56.17814,-3.90331,225,5.464
56.17827,-3.90319,225,5.48
56.17839,-3.9031,225,5.495
56.17851,-3.903,225,5.51
56.17859,-3.90291,225,5.52
56.17863,-3.90285,225.2,5.526
56.17868,-3.90278,225.4,5.533
56.17873,-3.90269,225.7,5.541
56.17876,-3.90263,225.9,5.546
56.1788,-3.90255,226.2,5.552
56.17882,-3.90249,226.3,5.557
56.17894,-3.90219,227,5.58
56.17903,-3.90191,227.9,5.6
56.17912,-3.90171,228.4,5.616
56.17919,-3.90159,228.8,5.626
56.17945,-3.90116,231.2,5.666
56.17953,-3.90105,232,5.677
56.17959,-3.90097,232.7,5.685
56.17966,-3.9009,233.3,5.694
56.17975,-3.90083,234.1,5.705
56.18004,-3.90065,236.7,5.739
56.18021,-3.90055,238.3,5.759
56.18035,-3.90052,239.2,5.775
56.18072,-3.90048,241.6,5.816
56.18118,-3.9004,245.4,5.868
56.18138,-3.90036,247,5.89
56.18163,-3.90033,248.4,5.918
56.18201,-3.90027,250.7,5.96
56.18253,-3.90018,253.1,6.019
56.18307,-3.90009,255.1,6.079
56.18309,-3.90008,255.3,6.081
56.18371,-3.89998,256.7,6.15
56.18383,-3.89997,256.8,6.164
56.18395,-3.89996,256.9,6.177
56.18406,-3.89998,256.7,6.19
56.18419,-3.90002,256.4,6.204
56.18429,-3.90003,256.4,6.215
56.18441,-3.90003,256.5,6.229
56.18449,-3.90001,256.7,6.238
56.18456,-3.89997,257.1,6.246
56.18461,-3.89993,257.5,6.252
56.18468,-3.89987,258,6.261
56.18476,-3.89979,258.6,6.271
56.18487,-3.89973,259.1,6.284
56.18504,-3.89965,259.9,6.303
56.18519,-3.8996,260.5,6.32
56.18527,-3.89956,260.9,6.329
56.18539,-3.8995,261.6,6.343
56.18546,-3.89946,262,6.351
56.18555,-3.89943,261.9,6.362
56.18562,-3.89942,261.8,6.369
56.18576,-3.89939,261.7,6.385
56.18583,-3.89937,261.6,6.393
56.18586,-3.89937,261.6,6.396
56.186,-3.89931,261.7,6.412
56.18622,-3.89919,261.8,6.438
56.18634,-3.89913,261.4,6.452
56.18642,-3.89909,261.2,6.461
56.18651,-3.89907,260.7,6.471
56.18659,-3.89907,260.1,6.48
56.18663,-3.89907,259.9,6.485
56.18675,-3.89905,259.2,6.498
56.18677,-3.89905,259,6.5
56.18684,-3.89903,258.6,6.508
56.18696,-3.89898,257.9,6.522
56.18711,-3.89888,257.3,6.54
56.18726,-3.89874,256.8,6.558
56.18746,-3.89848,256.7,6.586
56.18754,-3.89834,256.9,6.598
56.18761,-3.89818,257.6,6.611
56.18764,-3.89807,258.2,6.619
56.18766,-3.89795,259,6.626
56.1877,-3.89777,260.1,6.638
56.18772,-3.89766,260.8,6.645
56.18775,-3.89757,261.3,6.652
56.18778,-3.8975,261.7,6.657
56.18779,-3.89749,261.7,6.659
56.18783,-3.89743,261.9,6.665
56.18793,-3.89736,261.9,6.676
56.18807,-3.89728,261.7,6.693
56.18817,-3.89721,261.6,6.705
56.18828,-3.89709,261.7,6.719
56.1884,-3.89694,262,6.735
56.18859,-3.89665,263.1,6.763
56.18874,-3.8964,263.4,6.786
56.18882,-3.89622,263.7,6.8
56.18891,-3.89595,264.1,6.82
56.18905,-3.89545,264.4,6.854
56.18921,-3.89481,265.1,6.898
56.18942,-3.89393,264.8,6.957
56.18956,-3.89355,263.8,6.985
56.18965,-3.89333,262.9,7.002
56.18973,-3.89305,262.4,7.022
56.18978,-3.89282,262.2,7.037
56.18979,-3.89274,262.2,7.042
56.18982,-3.89262,262.1,7.05
56.18989,-3.89249,261.5,7.061
56.19003,-3.89235,260.2,7.079
56.19011,-3.89226,259.5,7.09
56.19017,-3.89219,259.1,7.098
56.19018,-3.89218,259,7.099
56.19024,-3.89211,258.6,7.107
56.19031,-3.89208,258,7.115
56.19035,-3.89208,257.7,7.119
56.19037,-3.89207,257.5,7.122
56.19045,-3.89208,256.7,7.131
56.19052,-3.89209,256,7.139
56.19061,-3.89213,255,7.149
56.19068,-3.89217,254.1,7.157
56.19078,-3.89226,252.7,7.169
56.19086,-3.89233,251.5,7.179
56.19093,-3.89238,250.4,7.188
56.19098,-3.8924,249.9,7.193
